"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro carte de crédit"
"Card Verification Number","Numéro de vérification de la carte"
"Please wait while you are redirected to the payment page.","Veuillez patienter pendant que nous vous transférons à la page de paiement."
"Loadingâ€¦","Chargement...
"Click Back to Cart" to retry checkout with an alternate payment method.","Cliquez sur Retour au panier pour réessayer le paiement avec un mode de paiement différent."
"Back to Cart","Retour au panier"
"Your order # is: <span>%1</span>.","Votre no de commande est le : <span>%1</span>."
"Print","Imprimé"
"Continue edit Credit Card use Hosted Vault","Continuer la mise à jour de la carte de crédit à l'aide des données du coffre-fort sur le serveur"
"Continue Edit Credit Card (Hosted Vault)","Continuer la mise à jour de la carte de crédit (coffre-fort sur le serveur)"
"* Required Fields","* Champs obligatoires"
"CC Type","Type de CC"
"--Please Select--","--Veuillez choisir--"
"Save Credit Card","Enregistrer la carte de crédit"
"My Credit Cards","Mes cartes de crédit"
"Card Number","Numéro de carte"
"Actions","Actions"
"Edit","Modifier"
"Edit by Hosted","Modifier selon serveur"
"Are you sure you want to delete this card?","Êtes-vous sûr de vouloir supprimer cette carte?"
"You haven't had any saved credit cards.","Vous n'avez aucune carte de crédit enregistrée."
"Add New Credit Card","Ajoutez une nouvelle carte de crédit"
"Add New Credit Card use Hosted Vault","Ajoutez une nouvelle carte de crédit à l'aide des données du coffre-fort sur le serveur"
"Add New Credit Card (Hosted Vault)","Ajoutez une nouvelle carte de crédit (coffre-fort sur le serveur)"
"Moneris CC Payment results %1 ","Résultats Moneris pour le paiement par carte de crédit %1 "
"Purchase","Achat"
"Preauthorization","Préautorisation"
"Authorise","Autoriser"
"Authorise and Capture","Autoriser et conclure"
"Production Environment","Environnement de production"
"Development Environment","Environnement de développement"
"Certification Test Tool ","Outil de test de certification "
"Moneris endpoint is not responding.","Le service Moneris ne répond pas"
"Invalid amount to process: ","Montant non valide à traiter : "
"Error in processing payment: ","Erreur de traitement du paiement : "
"Error in refunding payment: amount (%s) cannot be 0 or less.","Erreur de remise de paiement : montant (%s) ne peut pas être égal ou inférieur à 0."
"Error in refunding payment: ","Erreur de remise du paiement : "
"Invalid transaction id.","ID de transaction non valide."
"Error in voiding payment: ","Erreur d'invalidation du paiement : "
"This payment didn\t work out because we can\"t find this order.","Ce paiement n'a pas fonctionné parce que cette commande est introuvable."
"Your card could not be VBV/3DS authenticated. Please use a VBV/3DS enrolled card.","Votre carte n'a pas pu être authentifiée par VpV/3DS  Veuillez utiliser une carte conforme aux normes VpV/3DS."
"Authentication Not Available. Please try another card or a different payment method.","Authentification non disponible. Veuillez essayer une autre carte ou choisissez une méthode de paiement différente."
"We were unable to verify your VBV / 3DS credentials. Please try again or use a different payment method.","Nous n'étions pas en mesure de vérifier vos renseignements d'identification VpV/3DS. Veuillez essayer de nouveau ou choisissez une méthode de paiement différente."
"3-D Secure authentication failed. Please try again or use a different payment method.","Échec de l'authentification 3-D Secure. Veuillez essayer de nouveau ou choisissez une méthode de paiement différente."
"There was an error authorizing your payment. Please use a different card or try a different payment method.","Une erreur s'est produite lors de l'autorisation de votre paiement. Veuillez utiliser une autre carte ou choisissez une méthode de paiement différente."
"The Transaction has been declined by your bank. Please use a different card or try a different payment method.","La transaction a été refusée par votre banque. Veuillez utiliser une autre carte ou choisissez une méthode de paiement différente."
"There was an error processing your card. Please use a different card or try a different payment method.","Une erreur s'est produite lors du traitement de votre carte. Veuillez utiliser une autre carte ou choisissez une méthode de paiement différente."
"VBV / 3DS authentication completed successfully","Authentification VpV/3DS complétée avec succès"
"Only VBV / 3DS enrolled cards are accepted. Please try another card or a different payment method.","Seules les cartes conformes aux normes VpV/3DS sont acceptées. Veuillez essayer une autre carte ou choisissez une méthode de paiement différente."
"The transaction was declined because the response hash validation failed.","La transaction a été refusée parce que la validation du code de hachage a échoué."
"There was a payment authorization error.","Une erreur d'autorisation de paiement s'est produite."
"Please enter a transaction ID to authorize this payment.","Veuillez entrer un ID de transaction pour autoriser ce paiement."
"FAILED","ERREUR"
"Transaction Failed AVS Match","Échec de la correspondance SVA pour cette transaction"
"Card Verification Number mismatch. $1 : $2","Disparité du numéro de vérification de la carte. 1 $ : 2 $"
"Invalid token id","ID de jeton non valide"
"We can\t initialize checkout.","Le paiement ne peut pas être initialisé."
"Edit Credit Card","Modifier la carte de crédit"
"New Credit Card","Nouvelle carte de crédit"
"My Credit Cards (Moneris)","Mes cartes de crédit (Moneris)"
"Your Credit Card has been deleted successfully.","Votre carte de crédit a été supprimée avec succès."
"Your Credit Card has been saved successfully.","Votre carte de crédit a été enregistrée avec succès."
"Cancelled by cardholder.","Annulé par le titulaire de carte."
"Your Credit Card has been saved successfully.,Your Credit Card has been saved successfully.","Votre carte de crédit a été enregistrée avec succès. Votre carte de crédit a été enregistrée avec succès."
"We can\t initialize checkout.","Le paiement ne peut pas être initialisé."
"Pending VBV / 3DS callback","Rappel automatique VpV/3DS en attente"
"We were unable to locate your order. Please contact Customer Support.","Nous n'avons pas réussi à retrouver votre commande. Veuillez communiquer avec le service à la clientèle."
"Failed VBV / 3DS callback parameters.","Paramètres de rappel automatique VpV/3DS échoués."
"The was an error communicating with your bank. Please try again in a few minutes.","Une erreur de communication avec votre banque s'est produite. Veuillez réessayer dans quelques minutes."
"VBV / 3DS was unable to complete successfully.","L'authentification VpV/3DS n'a pas pu être complétée avec succès."
"Something went wrong: the paid amount doesn\'t match the order amount.","Une erreur s'est produite : le montant payé ne correspond pas au montant de la commande."
" Please correct this and try again."," Veuillez corriger cette erreur et réessayer."
"Amount of %1 is pending approval on the gateway.<br/>","Un montant de %1 est en attente d'approbation sur la passerelle.<br/>"
"Transaction '%2' status is '%3'.<br/>","L'état de la transaction '%2' est '%3'.<br/>"
"Transaction FDS Filter Action is '%4'","Le filtre FDS de la transaction est réglé à '%4'"
"Transaction %1 has been approved. Amount %2. Transaction status is '%3',Transaction %1 has been approved. Amount %2. Transaction status is '%3'","La transaction %1 a été approuvée. Montant %2." "L'état de la transaction est '%3', la transaction %1 a été approuvée. Montant %2. L'état de la transaction est '%3"
"Transaction %1 has been voided/declined. Transaction status is '%2'. Amount %3.","La transaction %1 a été invalidée/refusée. L'état de la transaction est '%2'. Montant %3."
"Payment could not be processed at this time. Please try again later.","La transaction n'a pas pu être traitée. Veuillez réessayer plus tard."
